name	support	dist	leaves	sample1_sum	sample1_min	sample1_max	sample1_mean	sample1_variance	sample2_sum	sample2_min	sample2_max	sample2_mean	sample2_variance	sample3_sum	sample3_min	sample3_max	sample3_mean	sample3_variance	sample4_sum	sample4_min	sample4_max	sample4_mean	sample4_variance	sample5_sum	sample5_min	sample5_max	sample5_mean	sample5_variance	random_type_counter	taxid	sci_name	common_name	lineage	rank	named_lineage	nleaves	sample1	sample2	sample3	sample4	sample5	random_type
GB_GCA_001399805.1	1.0	1.0	1	0.56	0.56	0.56	0.56		0.66	0.66	0.66	0.66		0.96	0.96	0.96	0.96		0.99	0.99	0.99	0.99		0.23	0.23	0.23	0.23		low--1	GB_GCA_001399805.1	GB_GCA_001399805.1		1;2;79;1547;1548;2803;5335;5336;5337	subspecies	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__BA1;g__BA1;s__BA1 sp001399805;GB_GCA_001399805.1	1						
GB_GCA_003662715.1	1.0	1.0	1	0.47	0.47	0.47	0.47		0.36	0.36	0.36	0.36		0.98	0.98	0.98	0.98		0.66	0.66	0.66	0.66		0.01	0.01	0.01	0.01		low--1	GB_GCA_003662715.1	GB_GCA_003662715.1		1;2;79;1547;1548;2803;5975;5976;5977	subspecies	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__BA1;g__B1-G15;s__B1-G15 sp003662715;GB_GCA_003662715.1	1						
s__B24-2 sp002490245	1.0	1.0	2	1.08	0.44	0.64	0.54		0.35	0.12	0.23	0.175		0.98	0.29	0.69	0.49		1.02	0.26	0.76	0.51		0.31	0.15	0.16	0.155		high--1||low--1	s__B24-2 sp002490245	s__B24-2 sp002490245		1;2;79;1547;1548;3576;3577;3578	species	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__B24-2;g__B24-2;s__B24-2 sp002490245	2						
GB_GCA_009889585.1	1.0	1.0	1	0.74	0.74	0.74	0.74		0.35	0.35	0.35	0.35		0.15	0.15	0.15	0.15		0.68	0.68	0.68	0.68		0.8	0.8	0.8	0.8		medium--1	GB_GCA_009889585.1	GB_GCA_009889585.1		1;2;79;1547;1548;5969;5970;5971;5972	subspecies	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__WUQV01;g__WUQV01;s__WUQV01 sp009889585;GB_GCA_009889585.1	1						
GB_GCA_004376645.1	1.0	1.0	1	0.1	0.1	0.1	0.1		0.87	0.87	0.87	0.87		0.36	0.36	0.36	0.36		0.0	0.0	0.0	0.0		0.79	0.79	0.79	0.79		low--1	GB_GCA_004376645.1	GB_GCA_004376645.1		1;2;79;1547;1548;6544;6545;6546;6547	subspecies	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__SOJC01;g__SOJC01;s__SOJC01 sp004376645;GB_GCA_004376645.1	1						
s__40CM-2-53-6 sp001915065	1.0	1.0	4	1.85	0.02	0.98	0.4625		1.3599999999999999	0.25	0.48	0.33999999999999997		3.1	0.55	0.93	0.775		0.4	0.03	0.15	0.1		1.9100000000000001	0.06	0.91	0.47750000000000004		medium--3||high--1	s__40CM-2-53-6 sp001915065	s__40CM-2-53-6 sp001915065		1;2;79;1547;1932;1933;1934;1935	species	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__40CM-2-53-6;f__40CM-2-53-6;g__40CM-2-53-6;s__40CM-2-53-6 sp001915065	4						
s__40CM-2-53-6 sp005882905	1.0	1.0	3	1.0	0.01	0.65	0.3333333333333333		1.35	0.09	0.93	0.45		0.8500000000000001	0.01	0.64	0.2833333333333334		0.78	0.13	0.52	0.26		2.03	0.1	0.99	0.6766666666666666		high--1||low--1||medium--1	s__40CM-2-53-6 sp005882905	s__40CM-2-53-6 sp005882905		1;2;79;1547;1932;1933;1934;2490	species	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__40CM-2-53-6;f__40CM-2-53-6;g__40CM-2-53-6;s__40CM-2-53-6 sp005882905	3						
s__40CM-2-53-6 sp005882895	1.0	1.0	2	1.22	0.53	0.69	0.61		1.4100000000000001	0.49	0.92	0.7050000000000001		1.03	0.23	0.8	0.515		1.23	0.45	0.78	0.615		0.9199999999999999	0.45	0.47	0.45999999999999996		high--1||medium--1	s__40CM-2-53-6 sp005882895	s__40CM-2-53-6 sp005882895		1;2;79;1547;1932;1933;1934;3273	species	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__40CM-2-53-6;f__40CM-2-53-6;g__40CM-2-53-6;s__40CM-2-53-6 sp005882895	2						
s__40CM-2-53-6 sp001919285	1.0	1.0	2	0.19	0.0	0.19	0.095		1.45	0.63	0.82	0.725		1.12	0.24	0.88	0.56		0.8400000000000001	0.17	0.67	0.42000000000000004		0.74	0.02	0.72	0.37		medium--1||low--1	s__40CM-2-53-6 sp001919285	s__40CM-2-53-6 sp001919285		1;2;79;1547;1932;1933;1934;3522	species	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__40CM-2-53-6;f__40CM-2-53-6;g__40CM-2-53-6;s__40CM-2-53-6 sp001919285	2						
s__40CM-2-53-6 sp005883075	1.0	1.0	2	1.22	0.35	0.87	0.61		0.95	0.35	0.6	0.475		0.85	0.16	0.69	0.425		1.17	0.31	0.86	0.585		0.66	0.14	0.52	0.33		high--1||medium--1	s__40CM-2-53-6 sp005883075	s__40CM-2-53-6 sp005883075		1;2;79;1547;1932;1933;1934;3962	species	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__40CM-2-53-6;f__40CM-2-53-6;g__40CM-2-53-6;s__40CM-2-53-6 sp005883075	2						
s__40CM-2-53-6 sp001918745	1.0	1.0	2	1.68	0.69	0.99	0.84		1.02	0.29	0.73	0.51		1.09	0.23	0.86	0.545		0.38	0.06	0.32	0.19		1.54	0.7	0.84	0.77		medium--2	s__40CM-2-53-6 sp001918745	s__40CM-2-53-6 sp001918745		1;2;79;1547;1932;1933;1934;4004	species	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__40CM-2-53-6;f__40CM-2-53-6;g__40CM-2-53-6;s__40CM-2-53-6 sp001918745	2						
GB_GCA_005884195.1	1.0	1.0	1	0.22	0.22	0.22	0.22		0.16	0.16	0.16	0.16		0.97	0.97	0.97	0.97		0.67	0.67	0.67	0.67		0.44	0.44	0.44	0.44		low--1	GB_GCA_005884195.1	GB_GCA_005884195.1		1;2;79;1547;1932;1933;1934;4141;4142	subspecies	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__40CM-2-53-6;f__40CM-2-53-6;g__40CM-2-53-6;s__40CM-2-53-6 sp005884195;GB_GCA_005884195.1	1						
GB_GCA_005881695.1	1.0	1.0	1	0.6	0.6	0.6	0.6		0.13	0.13	0.13	0.13		0.24	0.24	0.24	0.24		0.0	0.0	0.0	0.0		0.13	0.13	0.13	0.13		low--1	GB_GCA_005881695.1	GB_GCA_005881695.1		1;2;79;1547;1932;1933;1934;4272;4273	subspecies	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__40CM-2-53-6;f__40CM-2-53-6;g__40CM-2-53-6;s__40CM-2-53-6 sp005881695;GB_GCA_005881695.1	1						
GB_GCA_005882955.1	1.0	1.0	1	0.5	0.5	0.5	0.5		0.85	0.85	0.85	0.85		0.4	0.4	0.4	0.4		0.68	0.68	0.68	0.68		0.38	0.38	0.38	0.38		low--1	GB_GCA_005882955.1	GB_GCA_005882955.1		1;2;79;1547;1932;1933;1934;4299;4300	subspecies	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__40CM-2-53-6;f__40CM-2-53-6;g__40CM-2-53-6;s__40CM-2-53-6 sp005882955;GB_GCA_005882955.1	1						
GB_GCA_005883085.1	1.0	1.0	1	0.58	0.58	0.58	0.58		0.56	0.56	0.56	0.56		0.5	0.5	0.5	0.5		0.25	0.25	0.25	0.25		0.92	0.92	0.92	0.92		high--1	GB_GCA_005883085.1	GB_GCA_005883085.1		1;2;79;1547;1932;1933;1934;5832;5833	subspecies	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__40CM-2-53-6;f__40CM-2-53-6;g__40CM-2-53-6;s__40CM-2-53-6 sp005883085;GB_GCA_005883085.1	1						
GB_GCA_005888745.1	1.0	1.0	1	0.27	0.27	0.27	0.27		0.76	0.76	0.76	0.76		0.79	0.79	0.79	0.79		0.06	0.06	0.06	0.06		0.37	0.37	0.37	0.37		high--1	GB_GCA_005888745.1	GB_GCA_005888745.1		1;2;79;1547;1932;1933;1934;6400;6401	subspecies	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__40CM-2-53-6;f__40CM-2-53-6;g__40CM-2-53-6;s__40CM-2-53-6 sp005888745;GB_GCA_005888745.1	1						
GB_GCA_005881615.1	1.0	1.0	1	0.31	0.31	0.31	0.31		0.91	0.91	0.91	0.91		0.9	0.9	0.9	0.9		0.45	0.45	0.45	0.45		0.84	0.84	0.84	0.84		low--1	GB_GCA_005881615.1	GB_GCA_005881615.1		1;2;79;1547;1932;1933;1934;6586;6587	subspecies	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__40CM-2-53-6;f__40CM-2-53-6;g__40CM-2-53-6;s__40CM-2-53-6 sp005881615;GB_GCA_005881615.1	1						
GB_GCA_005884605.1	1.0	1.0	1	0.4	0.4	0.4	0.4		0.99	0.99	0.99	0.99		0.09	0.09	0.09	0.09		0.94	0.94	0.94	0.94		0.94	0.94	0.94	0.94		low--1	GB_GCA_005884605.1	GB_GCA_005884605.1		1;2;79;1547;1932;1933;1934;6685;6686	subspecies	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__40CM-2-53-6;f__40CM-2-53-6;g__40CM-2-53-6;s__40CM-2-53-6 sp005884605;GB_GCA_005884605.1	1						
GB_GCA_005883695.1	1.0	1.0	1	0.89	0.89	0.89	0.89		0.61	0.61	0.61	0.61		0.63	0.63	0.63	0.63		0.44	0.44	0.44	0.44		1.0	1.0	1.0	1.0		high--1	GB_GCA_005883695.1	GB_GCA_005883695.1		1;2;79;1547;1932;1933;1934;6937;6938	subspecies	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__40CM-2-53-6;f__40CM-2-53-6;g__40CM-2-53-6;s__40CM-2-53-6 sp005883695;GB_GCA_005883695.1	1						
GB_GCA_005888635.1	1.0	1.0	1	0.38	0.38	0.38	0.38		0.57	0.57	0.57	0.57		0.31	0.31	0.31	0.31		0.34	0.34	0.34	0.34		0.71	0.71	0.71	0.71		medium--1	GB_GCA_005888635.1	GB_GCA_005888635.1		1;2;79;1547;1932;1933;1934;6982;6983	subspecies	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__40CM-2-53-6;f__40CM-2-53-6;g__40CM-2-53-6;s__40CM-2-53-6 sp005888635;GB_GCA_005888635.1	1						
GB_GCA_001918765.1	1.0	1.0	1	0.03	0.03	0.03	0.03		0.78	0.78	0.78	0.78		0.85	0.85	0.85	0.85		0.32	0.32	0.32	0.32		0.5	0.5	0.5	0.5		high--1	GB_GCA_001918765.1	GB_GCA_001918765.1		1;2;79;1547;1932;1933;1934;7059;7060	subspecies	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__40CM-2-53-6;f__40CM-2-53-6;g__40CM-2-53-6;s__40CM-2-53-6 sp001918765;GB_GCA_001918765.1	1						
GB_GCA_005888755.1	1.0	1.0	1	0.23	0.23	0.23	0.23		0.74	0.74	0.74	0.74		0.78	0.78	0.78	0.78		0.15	0.15	0.15	0.15		0.46	0.46	0.46	0.46		high--1	GB_GCA_005888755.1	GB_GCA_005888755.1		1;2;79;1547;1932;1933;1934;7252;7253	subspecies	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__40CM-2-53-6;f__40CM-2-53-6;g__40CM-2-53-6;s__40CM-2-53-6 sp005888755;GB_GCA_005888755.1	1						
GB_GCA_002495485.1	1.0	1.0	1	0.07	0.07	0.07	0.07		0.75	0.75	0.75	0.75		0.09	0.09	0.09	0.09		0.25	0.25	0.25	0.25		0.26	0.26	0.26	0.26		medium--1	GB_GCA_002495485.1	GB_GCA_002495485.1		1;2;79;1547;1932;1933;1934;7583;7584	subspecies	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__40CM-2-53-6;f__40CM-2-53-6;g__40CM-2-53-6;s__40CM-2-53-6 sp002495485;GB_GCA_002495485.1	1						
s__BA-19 sp005888735	1.0	1.0	2	0.71	0.02	0.69	0.355		0.81	0.06	0.75	0.405		1.24	0.5	0.74	0.62		0.88	0.36	0.52	0.44		1.16	0.44	0.72	0.58		low--2	s__BA-19 sp005888735	s__BA-19 sp005888735		1;2;79;1547;1932;1933;3364;3365	species	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__40CM-2-53-6;f__40CM-2-53-6;g__BA-19;s__BA-19 sp005888735	2						
GB_GCA_005888695.1	1.0	1.0	1	0.39	0.39	0.39	0.39		0.02	0.02	0.02	0.02		0.0	0.0	0.0	0.0		0.24	0.24	0.24	0.24		0.14	0.14	0.14	0.14		low--1	GB_GCA_005888695.1	GB_GCA_005888695.1		1;2;79;1547;1932;1933;4373;4374;4375	subspecies	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__40CM-2-53-6;f__40CM-2-53-6;g__BA-13;s__BA-13 sp005888695;GB_GCA_005888695.1	1						
GB_GCA_005888675.1	1.0	1.0	1	0.25	0.25	0.25	0.25		0.32	0.32	0.32	0.32		0.38	0.38	0.38	0.38		0.69	0.69	0.69	0.69		0.8	0.8	0.8	0.8		high--1	GB_GCA_005888675.1	GB_GCA_005888675.1		1;2;79;1547;1932;1933;4373;5895;5896	subspecies	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__40CM-2-53-6;f__40CM-2-53-6;g__BA-13;s__BA-13 sp005888675;GB_GCA_005888675.1	1						
s__DTDX01 sp011369655	1.0	1.0	2	0.9099999999999999	0.31	0.6	0.45499999999999996		1.1199999999999999	0.42	0.7	0.5599999999999999		0.93	0.03	0.9	0.465		0.59	0.0	0.59	0.295		1.1600000000000001	0.52	0.64	0.5800000000000001		low--1||medium--1	s__DTDX01 sp011369655	s__DTDX01 sp011369655		1;2;79;1547;1932;2739;2740;2741	species	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__40CM-2-53-6;f__DTDX01;g__DTDX01;s__DTDX01 sp011369655	2						
GB_GCA_011338225.1	1.0	1.0	1	0.32	0.32	0.32	0.32		0.24	0.24	0.24	0.24		0.68	0.68	0.68	0.68		0.47	0.47	0.47	0.47		0.3	0.3	0.3	0.3		low--1	GB_GCA_011338225.1	GB_GCA_011338225.1		1;2;79;1547;1932;2739;2740;6703;6704	subspecies	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__40CM-2-53-6;f__DTDX01;g__DTDX01;s__DTDX01 sp011338225;GB_GCA_011338225.1	1						
GB_GCA_011355205.1	1.0	1.0	1	0.83	0.83	0.83	0.83		0.13	0.13	0.13	0.13		0.66	0.66	0.66	0.66		0.6	0.6	0.6	0.6		0.59	0.59	0.59	0.59		low--1	GB_GCA_011355205.1	GB_GCA_011355205.1		1;2;79;1547;1932;4874;4875;4876;4877	subspecies	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__40CM-2-53-6;f__RBG-13-38-9;g__DTMT01;s__DTMT01 sp011355205;GB_GCA_011355205.1	1						
GB_GCA_007050885.1	1.0	1.0	1	0.05	0.05	0.05	0.05		0.65	0.65	0.65	0.65		0.57	0.57	0.57	0.57		0.59	0.59	0.59	0.59		0.38	0.38	0.38	0.38		low--1	GB_GCA_007050885.1	GB_GCA_007050885.1		1;2;79;1547;1932;4874;4996;4997;4998	subspecies	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__40CM-2-53-6;f__RBG-13-38-9;g__RBG-13-38-9;s__RBG-13-38-9 sp007050885;GB_GCA_007050885.1	1						
GB_GCA_001775955.1	1.0	1.0	1	0.55	0.55	0.55	0.55		0.53	0.53	0.53	0.53		0.97	0.97	0.97	0.97		0.06	0.06	0.06	0.06		0.19	0.19	0.19	0.19		medium--1	GB_GCA_001775955.1	GB_GCA_001775955.1		1;2;79;1547;1932;4874;4996;5867;5868	subspecies	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__40CM-2-53-6;f__RBG-13-38-9;g__RBG-13-38-9;s__RBG-13-38-9 sp001775955;GB_GCA_001775955.1	1						
GB_GCA_011358085.1	1.0	1.0	1	0.43	0.43	0.43	0.43		0.92	0.92	0.92	0.92		0.92	0.92	0.92	0.92		0.27	0.27	0.27	0.27		0.53	0.53	0.53	0.53		low--1	GB_GCA_011358085.1	GB_GCA_011358085.1		1;2;79;1547;1932;5634;5635;5636;5637	subspecies	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__40CM-2-53-6;f__DTGE01;g__DTOY01;s__DTOY01 sp011358085;GB_GCA_011358085.1	1						
GB_GCA_011389385.1	1.0	1.0	1	0.77	0.77	0.77	0.77		0.13	0.13	0.13	0.13		0.03	0.03	0.03	0.03		0.47	0.47	0.47	0.47		0.39	0.39	0.39	0.39		high--1	GB_GCA_011389385.1	GB_GCA_011389385.1		1;2;79;1547;1932;5634;7796;7797;7798	subspecies	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__40CM-2-53-6;f__DTGE01;g__DTGE01;s__DTGE01 sp011389385;GB_GCA_011389385.1	1						
GB_GCA_003152955.1	1.0	1.0	1	0.82	0.82	0.82	0.82		0.11	0.11	0.11	0.11		0.81	0.81	0.81	0.81		0.39	0.39	0.39	0.39		0.84	0.84	0.84	0.84		low--1	GB_GCA_003152955.1	GB_GCA_003152955.1		1;2;79;1547;1932;7565;7566;7567;7568	subspecies	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__40CM-2-53-6;f__FEN-987;g__FEN-987;s__FEN-987 sp003152955;GB_GCA_003152955.1	1						
GB_GCA_001768965.1	1.0	1.0	1	0.55	0.55	0.55	0.55		0.44	0.44	0.44	0.44		0.27	0.27	0.27	0.27		0.73	0.73	0.73	0.73		0.55	0.55	0.55	0.55		low--1	GB_GCA_001768965.1	GB_GCA_001768965.1		1;2;79;1547;1932;7565;7566;7601;7602	subspecies	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__40CM-2-53-6;f__FEN-987;g__FEN-987;s__FEN-987 sp001768965;GB_GCA_001768965.1	1						
s__B25 sp003662515	1.0	1.0	2	0.31	0.1	0.21	0.155		1.3199999999999998	0.63	0.69	0.6599999999999999		0.24	0.02	0.22	0.12		1.1300000000000001	0.46	0.67	0.5650000000000001		0.47	0.06	0.41	0.235		low--1||medium--1	s__B25 sp003662515	s__B25 sp003662515		1;2;79;1547;2960;2961;2962;2963	species	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B25;f__B25;g__B25;s__B25 sp003662515	2						
GB_GCA_003662305.1	1.0	1.0	1	0.81	0.81	0.81	0.81		0.74	0.74	0.74	0.74		0.95	0.95	0.95	0.95		0.99	0.99	0.99	0.99		0.28	0.28	0.28	0.28		low--1	GB_GCA_003662305.1	GB_GCA_003662305.1		1;2;79;1547;2960;2961;2962;6358;6359	subspecies	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B25;f__B25;g__B25;s__B25 sp003662305;GB_GCA_003662305.1	1						
GB_GCA_003662485.1	1.0	1.0	1	0.45	0.45	0.45	0.45		0.03	0.03	0.03	0.03		0.63	0.63	0.63	0.63		0.24	0.24	0.24	0.24		0.57	0.57	0.57	0.57		low--1	GB_GCA_003662485.1	GB_GCA_003662485.1		1;2;79;1547;2960;2961;2962;6755;6756	subspecies	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B25;f__B25;g__B25;s__B25 sp003662485;GB_GCA_003662485.1	1						
GB_GCA_001593855.1	1.0	1.0	1	0.31	0.31	0.31	0.31		0.31	0.31	0.31	0.31		0.68	0.68	0.68	0.68		0.6	0.6	0.6	0.6		0.45	0.45	0.45	0.45		high--1	GB_GCA_001593855.1	GB_GCA_001593855.1		1;2;79;1547;2960;2961;2962;7232;7233	subspecies	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B25;f__B25;g__B25;s__B25 sp001593855;GB_GCA_001593855.1	1						
s__JdFR-11 sp002011035	1.0	1.0	2	1.1099999999999999	0.48	0.63	0.5549999999999999		0.9299999999999999	0.46	0.47	0.46499999999999997		1.05	0.4	0.65	0.525		0.8700000000000001	0.2	0.67	0.43500000000000005		0.6100000000000001	0.28	0.33	0.30500000000000005		high--2	s__JdFR-11 sp002011035	s__JdFR-11 sp002011035		1;2;79;1547;2960;2961;3349;3350	species	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B25;f__B25;g__JdFR-11;s__JdFR-11 sp002011035	2						
s__EX4484-218 sp002254975	1.0	1.0	2	1.4100000000000001	0.68	0.73	0.7050000000000001		0.27	0.06	0.21	0.135		1.54	0.55	0.99	0.77		0.39	0.02	0.37	0.195		1.4300000000000002	0.53	0.9	0.7150000000000001		low--1||medium--1	s__EX4484-218 sp002254975	s__EX4484-218 sp002254975		1;2;79;1547;2960;2961;3606;3607	species	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B25;f__B25;g__EX4484-218;s__EX4484-218 sp002254975	2						
GB_GCA_003661965.1	1.0	1.0	1	0.41	0.41	0.41	0.41		0.49	0.49	0.49	0.49		0.97	0.97	0.97	0.97		0.84	0.84	0.84	0.84		0.68	0.68	0.68	0.68		high--1	GB_GCA_003661965.1	GB_GCA_003661965.1		1;2;79;1547;2960;2961;3606;7280;7281	subspecies	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B25;f__B25;g__EX4484-218;s__EX4484-218 sp003661965;GB_GCA_003661965.1	1						
s__B24 sp001593865	1.0	1.0	2	1.49	0.72	0.77	0.745		0.64	0.17	0.47	0.32		1.08	0.23	0.85	0.54		0.41000000000000003	0.13	0.28	0.20500000000000002		0.7100000000000001	0.16	0.55	0.35500000000000004		medium--1||low--1	s__B24 sp001593865	s__B24 sp001593865		1;2;79;1547;3588;3589;3590;3591	species	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B24;f__B24;g__B24;s__B24 sp001593865	2						
s__DTBU01 sp011366665	1.0	1.0	2	1.3199999999999998	0.58	0.74	0.6599999999999999		0.8	0.39	0.41	0.4		0.89	0.44	0.45	0.445		0.71	0.08	0.63	0.355		1.28	0.39	0.89	0.64		medium--2	s__DTBU01 sp011366665	s__DTBU01 sp011366665		1;2;79;1547;3588;3589;3901;3902	species	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B24;f__B24;g__DTBU01;s__DTBU01 sp011366665	2						
GB_GCA_011374155.1	1.0	1.0	1	0.54	0.54	0.54	0.54		0.37	0.37	0.37	0.37		0.25	0.25	0.25	0.25		0.06	0.06	0.06	0.06		0.64	0.64	0.64	0.64		high--1	GB_GCA_011374155.1	GB_GCA_011374155.1		1;2;79;1547;3588;3589;3901;6268;6269	subspecies	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B24;f__B24;g__DTBU01;s__DTBU01 sp011374155;GB_GCA_011374155.1	1						
GB_GCA_011369595.1	1.0	1.0	1	0.18	0.18	0.18	0.18		0.31	0.31	0.31	0.31		0.05	0.05	0.05	0.05		0.41	0.41	0.41	0.41		0.13	0.13	0.13	0.13		low--1	GB_GCA_011369595.1	GB_GCA_011369595.1		1;2;79;1547;3588;3589;3901;7701;7702	subspecies	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B24;f__B24;g__DTBU01;s__DTBU01 sp011369595;GB_GCA_011369595.1	1						
GB_GCA_011361905.1	1.0	1.0	1	0.12	0.12	0.12	0.12		0.5	0.5	0.5	0.5		0.69	0.69	0.69	0.69		0.76	0.76	0.76	0.76		0.67	0.67	0.67	0.67		low--1	GB_GCA_011361905.1	GB_GCA_011361905.1		1;2;79;1547;3588;3589;3901;7718;7719	subspecies	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B24;f__B24;g__DTBU01;s__DTBU01 sp011361905;GB_GCA_011361905.1	1						
s__DRYS01 sp011367275	1.0	1.0	2	1.6	0.67	0.93	0.8		1.3800000000000001	0.45	0.93	0.6900000000000001		1.3599999999999999	0.49	0.87	0.6799999999999999		0.17	0.0	0.17	0.085		0.29000000000000004	0.02	0.27	0.14500000000000002		high--1||medium--1	s__DRYS01 sp011367275	s__DRYS01 sp011367275		1;2;79;1547;3588;3669;3670;3671	species	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B24;f__DRYS01;g__DRYS01;s__DRYS01 sp011367275	2						
GB_GCA_011375775.1	1.0	1.0	1	0.08	0.08	0.08	0.08		0.13	0.13	0.13	0.13		0.72	0.72	0.72	0.72		0.14	0.14	0.14	0.14		0.0	0.0	0.0	0.0		high--1	GB_GCA_011375775.1	GB_GCA_011375775.1		1;2;79;1547;3588;3669;3670;7129;7130	subspecies	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B24;f__DRYS01;g__DRYS01;s__DRYS01 sp011375775;GB_GCA_011375775.1	1						
GB_GCA_001593875.1	1.0	1.0	1	0.24	0.24	0.24	0.24		0.56	0.56	0.56	0.56		0.16	0.16	0.16	0.16		0.96	0.96	0.96	0.96		0.02	0.02	0.02	0.02		high--1	GB_GCA_001593875.1	GB_GCA_001593875.1		1;2;79;1547;4406;4407;4408;4409;4410	subspecies	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__TCS64;f__TCS64;g__B23;s__B23 sp001593875;GB_GCA_001593875.1	1						
GB_GCA_014381835.1	1.0	1.0	1	0.22	0.22	0.22	0.22		0.87	0.87	0.87	0.87		0.34	0.34	0.34	0.34		0.16	0.16	0.16	0.16		0.55	0.55	0.55	0.55		high--1	GB_GCA_014381835.1	GB_GCA_014381835.1		1;2;79;1547;4406;4407;4764;4765;4766	subspecies	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__TCS64;f__TCS64;g__GCA-2726865;s__GCA-2726865 sp014381835;GB_GCA_014381835.1	1						
GB_GCA_002726865.1	1.0	1.0	1	0.64	0.64	0.64	0.64		0.77	0.77	0.77	0.77		0.3	0.3	0.3	0.3		0.62	0.62	0.62	0.62		0.43	0.43	0.43	0.43		high--1	GB_GCA_002726865.1	GB_GCA_002726865.1		1;2;79;1547;4406;4407;4764;4970;4971	subspecies	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__TCS64;f__TCS64;g__GCA-2726865;s__GCA-2726865 sp002726865;GB_GCA_002726865.1	1						
GB_GCA_003601775.1	1.0	1.0	1	0.94	0.94	0.94	0.94		0.59	0.59	0.59	0.59		0.43	0.43	0.43	0.43		0.56	0.56	0.56	0.56		0.09	0.09	0.09	0.09		high--1	GB_GCA_003601775.1	GB_GCA_003601775.1		1;2;79;1547;4406;4407;5215;5216;5217	subspecies	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__TCS64;f__TCS64;g__PIYN01;s__PIYN01 sp003601775;GB_GCA_003601775.1	1						
GB_GCA_001775965.1	1.0	1.0	1	0.5	0.5	0.5	0.5		0.76	0.76	0.76	0.76		0.13	0.13	0.13	0.13		0.79	0.79	0.79	0.79		0.45	0.45	0.45	0.45		high--1	GB_GCA_001775965.1	GB_GCA_001775965.1		1;2;79;1547;4406;4407;5993;5994;5995	subspecies	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__TCS64;f__TCS64;g__RBG-16-57-9;s__RBG-16-57-9 sp001775965;GB_GCA_001775965.1	1						
