FeatureID	sample1	sample2	sample3	sample4	sample5	Taxon
GB_GCA_000375685.1	0.44	0.60	0.57	0.57	0.06	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Gearchaeales;f__Gearchaeaceae;g__AAA261-N23;s__AAA261-N23 sp000375685
GB_GCA_003019475.1	0.58	0.61	0.84	0.84	0.05	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Marsarchaeales;f__Marsarchaeaceae;g__ECH-B-1;s__ECH-B-1 sp003019535
GB_GCA_003019535.1	0.55	0.74	0.40	0.74	0.15	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Marsarchaeales;f__Marsarchaeaceae;g__ECH-B-1;s__ECH-B-1 sp003019535
GB_GCA_003019515.1	0.84	0.39	0.27	0.49	0.52	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Marsarchaeales;f__Marsarchaeaceae;g__ECH-B-1;s__ECH-B-1 sp003019535
GB_GCA_003019545.1	0.65	0.64	0.23	0.64	0.40	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Marsarchaeales;f__Marsarchaeaceae;g__ECH-B-1;s__ECH-B-1 sp003019535
GB_GCA_003019485.1	0.65	0.82	0.34	0.44	0.86	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Marsarchaeales;f__Marsarchaeaceae;g__ECH-B-1;s__ECH-B-1 sp003019535
GB_GCA_003019345.1	0.23	0.69	0.45	1.00	0.46	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Marsarchaeales;f__Marsarchaeaceae;g__ECH-B-1;s__ECH-B-1 sp003019535
RS_GCF_902812505.1	0.70	0.33	0.46	0.83	0.16	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Marsarchaeales;f__Marsarchaeaceae;g__ECH-B-1;s__ECH-B-1 sp902812505
GB_GCA_003019415.1	0.20	0.49	0.60	0.56	0.90	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Marsarchaeales;f__Marsarchaeaceae;g__BE-D;s__BE-D sp003019595
GB_GCA_003019385.1	0.95	0.61	0.67	0.76	0.45	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Marsarchaeales;f__Marsarchaeaceae;g__BE-D;s__BE-D sp003019595
GB_GCA_003019595.1	0.72	0.16	0.95	0.11	0.23	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Marsarchaeales;f__Marsarchaeaceae;g__BE-D;s__BE-D sp003019595
GB_GCA_003019615.1	0.35	0.19	0.04	0.52	0.20	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Marsarchaeales;f__Marsarchaeaceae;g__BE-D;s__BE-D sp003019595
GB_GCA_011055275.1	0.56	0.66	0.74	0.72	0.67	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Marsarchaeales;f__UBA168;g__UBA168;s__UBA168 sp011055275
GB_GCA_002507085.1	0.63	0.29	0.31	0.17	0.95	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Marsarchaeales;f__UBA168;g__UBA168;s__UBA168 sp002507085
GB_GCA_009889555.1	0.25	0.76	0.49	0.53	0.86	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__Pyrobaculum aerophilum
RS_GCF_000007225.1	0.92	0.45	0.15	0.75	0.29	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__Pyrobaculum aerophilum
GB_GCA_013329805.1	0.59	0.82	0.38	0.18	0.29	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__Pyrobaculum aerophilum
RS_GCF_003400145.1	0.30	0.41	0.35	0.41	0.04	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__Pyrobaculum aerophilum
RS_GCF_003400025.1	0.32	0.26	0.01	0.65	0.61	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__Pyrobaculum aerophilum
GB_GCA_009888185.1	0.98	0.79	0.27	0.01	0.92	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__Pyrobaculum aerophilum
RS_GCF_000016385.1	0.66	0.76	0.24	0.60	0.26	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__Pyrobaculum arsenaticum
RS_GCF_013414235.1	0.24	0.69	0.96	0.93	0.85	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__Pyrobaculum arsenaticum
GB_GCA_000247545.1	0.90	0.89	0.02	0.28	0.67	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__Pyrobaculum oguniense
GB_GCA_001189275.1	0.02	0.99	0.27	0.71	0.47	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__Pyrobaculum sp001189275
GB_GCA_000015805.1	0.34	0.56	0.43	0.44	0.33	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__Pyrobaculum calidifontis
RS_GCF_000234805.1	0.50	0.94	0.97	0.16	0.19	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__Pyrobaculum ferrireducens
RS_GCF_000015205.1	0.50	0.28	0.90	0.44	0.38	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__Pyrobaculum islandicum
RS_GCF_000019805.1	0.97	0.79	0.75	0.99	0.80	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__Pyrobaculum neutrophilum
GB_GCA_009903905.1	0.64	0.25	0.04	0.20	0.24	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__Pyrobaculum sp009903905
RS_GCF_002077075.2	0.74	0.01	0.12	0.99	0.93	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermoproteaceae;g__Thermoproteus;s__Thermoproteus sp002077075
GB_GCA_001516665.1	0.18	0.99	0.70	0.47	0.62	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermoproteaceae;g__Thermoproteus;s__Thermoproteus sp002077075
GB_GCA_001516655.1	0.98	0.36	0.62	0.02	1.00	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermoproteaceae;g__Thermoproteus;s__Thermoproteus sp002077075
GB_GCA_011056725.1	0.90	0.50	0.24	0.82	0.11	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermoproteaceae;g__Thermoproteus;s__Thermoproteus sp002077075
RS_GCF_000253055.1	0.27	0.79	0.50	0.66	0.38	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermoproteaceae;g__Thermoproteus;s__Thermoproteus tenax
GB_GCA_009903945.1	0.32	0.06	0.98	0.09	0.67	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermoproteaceae;g__Thermoproteus;s__Thermoproteus sp009903945
GB_GCA_002497345.1	0.38	0.21	0.72	0.75	0.86	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermoproteaceae;g__Thermoproteus;s__Thermoproteus sp002497345
GB_GCA_000960885.1	0.94	0.13	0.98	0.13	0.81	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermoproteaceae;g__Thermoproteus;s__Thermoproteus sp000960885
RS_GCF_000193375.1	0.16	0.96	0.26	0.59	0.84	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermoproteaceae;g__Thermoproteus;s__Thermoproteus uzoniensis
GB_GCA_009903815.1	0.62	0.87	0.80	0.11	0.75	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermocladiaceae;g__Caldivirga;s__Caldivirga sp001663375
GB_GCA_001516725.1	0.75	0.64	0.95	0.62	0.63	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermocladiaceae;g__Caldivirga;s__Caldivirga sp001663375
GB_GCA_011054495.1	0.94	0.89	0.18	0.91	0.22	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermocladiaceae;g__Caldivirga;s__Caldivirga sp001663375
RS_GCF_001663375.1	0.99	0.05	0.04	0.67	0.82	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermocladiaceae;g__Caldivirga;s__Caldivirga sp001663375
GB_GCA_002506515.1	0.39	0.23	0.34	0.10	0.85	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermocladiaceae;g__Caldivirga;s__Caldivirga sp002506515
RS_GCF_000018305.1	0.01	0.60	0.74	0.89	0.36	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermocladiaceae;g__Caldivirga;s__Caldivirga maquilingensis
GB_GCA_001516765.1	0.69	0.47	0.77	0.18	0.36	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermocladiaceae;g__Vulcanisaeta;s__Vulcanisaeta sp001516765
GB_GCA_009903725.1	0.24	0.76	0.51	0.80	0.61	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermocladiaceae;g__Vulcanisaeta;s__Vulcanisaeta sp001516765
GB_GCA_001516705.1	0.53	0.85	0.74	0.39	0.33	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermocladiaceae;g__Vulcanisaeta;s__Vulcanisaeta sp001516765
GB_GCA_014646555.1	0.44	0.08	0.52	1.00	0.24	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermocladiaceae;g__Vulcanisaeta;s__Vulcanisaeta souniana
GB_GCA_001316025.1	0.67	0.46	0.20	0.27	0.10	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermocladiaceae;g__Vulcanisaeta;s__Vulcanisaeta souniana
GB_GCA_001316145.1	0.70	0.17	0.63	0.22	0.97	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermocladiaceae;g__Vulcanisaeta;s__Vulcanisaeta distributa
RS_GCF_000148385.1	0.95	0.86	0.18	0.27	0.77	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermocladiaceae;g__Vulcanisaeta;s__Vulcanisaeta distributa
GB_GCA_001316005.1	0.27	0.25	0.62	0.83	0.41	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermocladiaceae;g__Vulcanisaeta;s__Vulcanisaeta distributa_B
GB_GCA_001316285.1	0.62	0.54	0.67	0.64	0.90	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermocladiaceae;g__Vulcanisaeta;s__Vulcanisaeta sp001316285
GB_GCA_001315985.1	0.80	0.69	0.28	0.02	0.33	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermocladiaceae;g__Vulcanisaeta;s__Vulcanisaeta distributa_E
GB_GCA_002506645.1	0.38	0.14	0.83	0.95	0.27	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermocladiaceae;g__Vulcanisaeta;s__Vulcanisaeta distributa_D
RS_GCF_000190315.1	0.10	0.27	0.72	0.86	0.54	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermocladiaceae;g__Vulcanisaeta;s__Vulcanisaeta moutnovskia
GB_GCA_001316125.1	0.41	0.62	0.02	0.06	0.69	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermocladiaceae;g__Vulcanisaeta;s__Vulcanisaeta distributa_C
GB_GCA_001316245.1	0.60	0.33	0.19	0.34	0.69	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermocladiaceae;g__Vulcanisaeta;s__Vulcanisaeta sp001316245
GB_GCA_001316265.1	0.26	0.15	0.28	0.78	0.86	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermocladiaceae;g__Vulcanisaeta;s__Vulcanisaeta sp001316265
GB_GCA_002496475.1	0.02	0.54	0.62	0.20	0.01	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermocladiaceae;g__Vulcanisaeta;s__Vulcanisaeta sp002496475
GB_GCA_014646535.1	0.24	0.62	0.18	0.56	0.85	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermocladiaceae;g__Thermocladium;s__Thermocladium modestius
RS_GCF_001315925.1	0.33	0.18	0.31	0.20	0.41	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermocladiaceae;g__Thermocladium;s__Thermocladium modestius
GB_GCA_001516585.1	0.41	0.21	0.30	0.05	0.41	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermocladiaceae;g__Thermocladium;s__Thermocladium sp001516585
GB_GCA_002508315.1	0.83	0.47	0.08	0.64	0.58	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermocladiaceae;g__Thermocladium;s__Thermocladium sp002508315
GB_GCA_013153895.1	0.67	0.46	0.23	0.65	0.86	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermocladiaceae;g__JAADER01;s__JAADER01 sp013153895
GB_GCA_013154355.1	0.97	0.99	0.62	0.72	0.14	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermocladiaceae;g__JAADER01;s__JAADER01 sp013154355
GB_GCA_013153275.1	0.33	0.95	0.45	0.74	0.30	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermocladiaceae;g__JAADER01;s__JAADER01 sp013153275
GB_GCA_002254895.1	0.76	0.41	0.35	0.92	0.87	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermocladiaceae;g__EX4572-64;s__EX4572-64 sp002254895
RS_GCF_001748385.1	0.58	0.84	0.76	0.47	0.80	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermocladiaceae;g__Vulcanisaeta_B;s__Vulcanisaeta_B thermophila
GB_GCA_003649205.1	0.02	0.12	0.53	0.80	0.14	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__B15-G16;g__B15-G16;s__B15-G16 sp003649205
GB_GCA_011046265.1	0.88	0.05	0.72	0.38	0.92	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__Thermofilaceae;g__Thermofilum_B;s__Thermofilum_B adornatum
RS_GCF_000446015.1	0.62	0.87	0.00	0.01	0.94	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__Thermofilaceae;g__Thermofilum_B;s__Thermofilum_B adornatum
RS_GCF_000813245.1	0.46	0.87	0.89	0.37	0.13	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__Thermofilaceae;g__Thermofilum_B;s__Thermofilum_B adornatum
GB_GCA_009903875.1	0.63	0.71	0.60	0.05	0.39	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__Thermofilaceae;g__Thermofilum_B;s__Thermofilum_B adornatum
RS_GCF_000015225.1	0.15	0.43	0.92	0.70	0.54	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__Thermofilaceae;g__Thermofilum_B;s__Thermofilum_B pendens_A
GB_GCA_003649495.1	0.09	0.59	0.56	0.73	0.38	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__Thermofilaceae;g__B17-G15;s__B17-G15 sp003649495
GB_GCA_003649375.1	0.37	0.90	0.14	0.20	0.69	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__Thermofilaceae;g__B17-G15;s__B17-G15 sp003649495
GB_GCA_011375505.1	0.86	0.78	0.65	0.94	0.07	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__Thermofilaceae;g__DRZQ01;s__DRZQ01 sp011053655
GB_GCA_011053655.1	0.71	0.36	0.96	0.77	0.66	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__Thermofilaceae;g__DRZQ01;s__DRZQ01 sp011053655
GB_GCA_011372935.1	0.93	0.95	0.26	0.65	0.89	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__Thermofilaceae;g__DRZQ01;s__DRZQ01 sp011372935
GB_GCA_011055445.1	0.27	0.90	0.30	0.28	0.39	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__Thermofilaceae;g__DRZQ01;s__DRZQ01 sp011055445
GB_GCA_011369665.1	0.10	0.53	0.87	0.18	0.01	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__Thermofilaceae;g__DRZQ01;s__DRZQ01 sp011369665
GB_GCA_011364205.1	0.51	0.77	0.51	0.75	0.27	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__Thermofilaceae;g__Thermofilum_C;s__Thermofilum_C sp011364825
GB_GCA_011364825.1	0.83	0.70	0.33	0.41	0.29	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__Thermofilaceae;g__Thermofilum_C;s__Thermofilum_C sp011364825
GB_GCA_011051395.1	0.24	0.41	0.47	0.80	0.22	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__Thermofilaceae;g__Thermofilum_C;s__Thermofilum_C pendens_A
GB_GCA_011372985.1	0.81	0.01	0.56	0.70	0.87	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__Thermofilaceae;g__Thermofilum_C;s__Thermofilum_C pendens_A
GB_GCA_011363115.1	0.29	0.88	0.47	0.48	0.61	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__Thermofilaceae;g__Thermofilum_C;s__Thermofilum_C pendens_B
GB_GCA_011047595.1	0.77	0.47	0.33	0.80	0.77	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__Thermofilaceae;g__Thermofilum_C;s__Thermofilum_C sp011047595
GB_GCA_002855745.1	0.12	0.05	0.40	0.16	0.41	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__Thermofilaceae;g__Thermofilum_A;s__Thermofilum_A sp002855745
RS_GCF_000993805.1	0.71	0.70	0.20	0.39	0.34	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__Thermofilaceae;g__Thermofilum_A;s__Thermofilum_A uzonense
GB_GCA_011039795.1	0.92	0.51	0.13	0.04	0.48	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__B9-G17;g__B9-G17;s__B9-G17 sp003649225
GB_GCA_003649225.1	0.12	0.24	0.80	0.15	0.96	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__B9-G17;g__B9-G17;s__B9-G17 sp003649225
GB_GCA_003650815.1	0.63	0.93	0.59	0.42	0.28	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__B15-G2;g__B15-G2;s__B15-G2 sp003650815
GB_GCA_003649305.1	0.83	0.67	0.04	0.75	0.88	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__B15-G2;g__B15-G2;s__B15-G2 sp003650815
GB_GCA_003649445.1	0.89	0.70	0.50	0.92	0.66	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__B15-G2;g__B15-G2;s__B15-G2 sp003649445
GB_GCA_003649345.1	0.87	0.92	0.63	0.37	0.39	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__B20-G17;g__B14-G17;s__B14-G17 sp003649515
GB_GCA_003649515.1	0.40	0.89	0.44	0.76	0.63	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__B20-G17;g__B14-G17;s__B14-G17 sp003649515
GB_GCA_003650785.1	0.63	0.46	0.15	0.21	0.86	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__B20-G17;g__B20-G17;s__B20-G17 sp003650785
GB_GCA_003650675.1	0.73	0.45	0.86	0.79	0.05	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__B20-G17;g__B67-G16;s__B67-G16 sp003650675
GB_GCA_002254595.1	0.47	0.30	0.61	0.48	0.96	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__EX4484-15;g__EX4484-15;s__EX4484-15 sp002254595
GB_GCA_003649235.1	0.81	0.89	0.52	0.09	0.04	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__B69-G16;g__B69-G16;s__B69-G16 sp003649235
GB_GCA_003650925.1	0.83	0.79	0.18	0.57	0.39	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__QMSL01;f__QMSL01;g__B12-G16;s__B12-G16 sp003650925
GB_GCA_003650905.1	0.79	0.10	0.16	0.57	0.97	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__QMSL01;f__QMSL01;g__B12-G16;s__B12-G16 sp003650925
GB_GCA_003649685.1	0.73	0.37	0.54	0.74	0.81	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__QMSL01;f__QMSL01;g__B3-G16;s__B3-G16 sp003649665
GB_GCA_003649665.1	0.90	0.13	0.99	0.56	0.40	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__QMSL01;f__QMSL01;g__B3-G16;s__B3-G16 sp003649665
GB_GCA_002254745.1	0.72	0.31	0.17	0.14	0.45	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__EX4484-217-1;f__EX4484-217-1;g__EX4484-217-1;s__EX4484-217-1 sp002254745
GB_GCA_011375895.1	0.45	0.79	0.32	0.97	0.87	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__EX4484-217-1;f__EX4484-217-1;g__DRYM01;s__DRYM01 sp011375895
GB_GCA_010028325.1	0.49	0.13	0.76	0.75	0.23	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotenuis;s__Nitrosotenuis sp010028495
GB_GCA_010030505.1	0.34	0.92	0.06	0.89	0.20	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotenuis;s__Nitrosotenuis sp010028495
GB_GCA_010030475.1	0.97	0.95	0.92	0.08	0.86	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotenuis;s__Nitrosotenuis sp010028495
GB_GCA_010028385.1	0.26	0.90	0.79	0.19	0.18	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotenuis;s__Nitrosotenuis sp010028495
GB_GCA_010030375.1	0.21	0.82	0.09	1.00	0.21	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotenuis;s__Nitrosotenuis sp010028495
GB_GCA_010030425.1	0.25	0.01	0.28	0.19	0.50	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotenuis;s__Nitrosotenuis sp010028495
GB_GCA_010028465.1	0.29	0.76	0.78	0.69	0.23	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotenuis;s__Nitrosotenuis sp010028495
GB_GCA_010028495.1	0.13	0.27	0.62	0.56	0.95	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotenuis;s__Nitrosotenuis sp010028495
GB_GCA_010030525.1	0.52	0.67	0.92	0.51	0.65	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotenuis;s__Nitrosotenuis sp010028495
GB_GCA_010028435.1	0.21	0.20	0.95	0.42	0.59	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotenuis;s__Nitrosotenuis sp010028495
GB_GCA_010028425.1	0.53	0.57	0.41	0.91	0.67	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotenuis;s__Nitrosotenuis sp010028495
GB_GCA_010028485.1	0.12	0.07	0.87	0.52	0.07	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotenuis;s__Nitrosotenuis sp010028495
GB_GCA_002499525.1	0.40	0.61	0.07	0.16	0.98	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotenuis;s__Nitrosotenuis sp002499525
GB_GCA_013331435.1	0.78	0.10	0.59	0.29	0.16	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotenuis;s__Nitrosotenuis sp002499525
GB_GCA_013329425.1	0.52	0.06	0.93	0.92	0.61	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotenuis;s__Nitrosotenuis sp002499525
GB_GCA_013330565.1	0.98	0.83	0.99	0.40	0.33	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotenuis;s__Nitrosotenuis sp002499525
GB_GCA_013330645.1	0.97	0.10	0.82	0.89	0.69	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotenuis;s__Nitrosotenuis sp002499525
GB_GCA_002498105.1	0.70	0.54	0.25	0.41	0.82	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotenuis;s__Nitrosotenuis sp002499525
GB_GCA_004322465.1	0.43	0.88	0.45	0.42	0.23	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotenuis;s__Nitrosotenuis sp004322465
RS_GCF_000685395.1	0.38	0.55	0.55	0.13	0.16	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotenuis;s__Nitrosotenuis chungbukensis
GB_GCA_900299125.1	0.31	0.36	0.13	0.37	0.73	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotenuis;s__Nitrosotenuis sp900299125
RS_GCF_000955905.1	0.79	0.08	0.38	0.13	0.18	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotenuis;s__Nitrosotenuis cloacae
